district,deliveries,,,,,,,,,,,,,,,,,,,,,,,
Chama,1/15/2009,2/12/2009,3/13/2009,4/17/2009,5/14/2009,6/11/2009,7/16/2009,8/13/2009,9/10/2009,10/15/2009,11/12/2009,12/10/2009,1/11/2010,2/8/2010,3/9/2010,4/13/2010,5/10/2010,6/7/2010,7/14/2010,8/10/2010,9/6/2010,10/11/2010,11/8/2010,12/6/2010
Chavuma,1/15/2009,2/12/2009,3/13/2009,4/18/2009,5/14/2009,6/11/2009,7/16/2009,8/13/2009,9/10/2009,10/15/2009,11/12/2009,12/10/2009,1/14/2010,2/11/2010,3/12/2010,4/15/2010,5/13/2010,6/10/2010,7/15/2010,8/12/2010,9/9/2010,10/14/2010,11/11/2010,12/9/2010
Kabompo,1/14/2009,2/11/2009,3/12/2009,4/17/2009,5/13/2009,6/10/2009,7/15/2009,8/12/2009,9/9/2009,10/14/2009,11/11/2009,12/9/2009,1/11/2010,2/8/2010,3/9/2010,4/12/2010,5/10/2010,6/7/2010,7/12/2010,8/9/2010,9/6/2010,10/11/2010,11/8/2010,12/6/2010
Kaoma,1/15/2009,2/12/2009,3/13/2009,4/17/2009,5/14/2009,6/11/2009,7/16/2009,8/13/2009,9/10/2009,10/15/2009,11/12/2009,12/10/2009,1/18/2010,2/15/2010,3/15/2010,4/19/2010,5/17/2010,6/14/2010,7/19/2010,8/16/2010,9/13/2010,10/18/2010,11/15/2010,12/13/2010
Kasama,1/7/2009,2/4/2009,3/4/2009,4/8/2009,5/6/2009,6/3/2009,7/10/2009,8/6/2009,9/2/2009,10/7/2009,11/4/2009,12/2/2009,1/4/2010,2/1/2010,3/1/2010,4/6/2010,5/3/2010,5/31/2010,7/8/2010,8/3/2010,8/30/2010,10/4/2010,11/1/2010,11/29/2010
Milengi,12/30/2008,1/27/2009,2/24/2009,3/31/2009,4/28/2009,5/27/2009,6/30/2009,7/28/2009,8/25/2009,9/29/2009,10/27/2009,11/24/2009,12/28/2009,1/25/2010,2/23/2010,3/29/2010,4/26/2010,5/24/2010,6/28/2010,7/26/2010,8/23/2010,9/27/2010,10/26/2010,11/22/2010
Mkushi,1/6/2009,2/3/2009,3/3/2009,4/7/2009,5/5/2009,6/2/2009,7/9/2009,8/5/2009,9/1/2009,10/6/2009,11/3/2009,12/1/2009,1/6/2010,2/3/2010,3/3/2010,4/8/2010,5/5/2010,6/2/2010,7/9/2010,8/5/2010,9/1/2010,10/6/2009,11/3/2010,12/1/2009
Mufumbwe,1/14/2009,2/11/2009,3/12/2009,4/17/2009,5/13/2009,6/10/2009,7/15/2009,8/12/2009,9/9/2009,10/14/2009,11/11/2009,12/9/2009,1/11/2010,2/8/2010,3/9/2010,4/12/2010,5/10/2010,6/7/2010,7/12/2010,8/9/2010,9/6/2010,10/11/2010,11/8/2010,12/6/2010
Mungwi,1/7/2009,2/4/2009,3/4/2009,4/8/2009,5/6/2009,6/3/2009,7/10/2009,8/6/2009,9/2/2009,10/7/2009,11/4/2009,12/2/2009,1/4/2010,2/1/2010,3/1/2010,4/6/2010,5/3/2010,5/31/2010,7/7/2010,8/3/2010,8/30/2010,10/4/2010,11/1/2010,11/29/2010
Mwinilunga,1/8/2009,2/5/2009,3/5/2009,4/9/2009,5/7/2009,6/4/2009,7/10/2009,8/7/2009,9/3/2009,10/8/2009,11/5/2009,12/3/2009,1/4/2010,2/1/2010,3/1/2010,4/6/2010,5/3/2010,5/31/2010,7/7/2010,8/3/2010,8/31/2010,10/4/2010,11/1/2010,11/29/2010
Nakonde,1/9/2009,2/6/2009,3/6/2009,4/10/2009,5/8/2009,6/5/2009,7/11/2009,8/8/2009,9/4/2009,10/9/2009,11/6/2009,12/4/2009,1/5/2010,2/2/2010,3/2/2010,4/7/2010,5/4/2010,6/1/2010,7/7/2010,8/4/2010,8/31/2010,10/5/2009,11/2/2010,11/30/2010
Shangombo,1/16/2009,2/13/2009,3/14/2009,4/18/2009,5/15/2009,6/12/2009,7/18/2009,8/14/2009,9/12/2009,10/16/2009,11/13/2009,12/12/2009,1/11/2010,2/8/2010,3/9/2010,4/12/2010,5/10/2010,6/7/2010,7/12/2010,8/9/2010,9/6/2010,10/11/2010,11/8/2010,12/6/2010